@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
229,'2017/02/17 14:24:40:991',3,74.967743,2
230,'2017/02/17 14:24:41:029',3,74.967743,2
231,'2017/02/17 14:24:41:067',3,74.967743,2
232,'2017/02/17 14:24:41:107',3,74.387085,2
233,'2017/02/17 14:24:41:149',3,75.548386,2
234,'2017/02/17 14:24:41:191',3,74.387085,2
235,'2017/02/17 14:24:41:228',3,76.129028,2
236,'2017/02/17 14:24:41:269',3,74.967743,2
237,'2017/02/17 14:24:41:308',3,74.967743,2
238,'2017/02/17 14:24:41:349',3,74.967743,2
239,'2017/02/17 14:24:41:390',3,74.967743,2
240,'2017/02/17 14:24:41:427',3,75.548386,2
